ROASTER,ROAST,LOC_COUNTRY,ORIGIN,100G_USD,RATING
48,1,11,9,104,9
29,4,11,9,113,8
132,4,11,9,250,12
128,4,5,11,314,11
128,4,5,11,269,9
119,4,10,9,201,8
99,1,11,5,92,8
293,4,10,9,124,10
202,4,10,14,126,9
200,4,11,11,303,10
223,1,11,9,121,10
200,4,11,11,289,8
200,4,11,11,150,8
45,2,11,6,35,7
200,1,11,10,268,7
122,4,5,11,260,10
122,4,5,11,247,9
122,2,5,11,246,8
122,4,5,11,260,8
144,4,10,18,316,11
156,4,11,9,112,10
27,4,11,10,92,8
27,1,11,2,129,8
132,4,11,15,68,7
165,4,11,12,92,8
115,4,10,14,338,9
115,4,10,9,338,8
186,1,11,9,129,9
247,2,10,9,251,10
247,2,10,22,251,9
251,4,11,3,56,7
88,4,11,9,121,6
219,4,11,10,183,8
101,1,10,10,267,9
269,4,7,10,179,8
63,4,10,3,133,8
91,4,11,4,67,8
2,1,10,9,125,10
184,4,10,9,50,9
147,2,5,11,271,7
27,4,11,18,298,11
257,4,11,9,136,10
200,1,11,9,150,9
27,4,11,19,129,8
200,4,11,11,268,8
144,4,10,9,93,9
190,4,11,9,129,8
26,4,5,11,199,8
200,2,11,24,81,6
144,1,10,14,79,9
200,4,11,24,81,5
144,4,10,9,50,8
217,4,10,9,201,9
217,4,10,9,169,8
217,4,10,22,308,8
219,4,11,9,103,9
299,1,11,3,113,8
35,1,10,3,319,9
40,4,11,3,185,9
207,4,6,3,248,9
196,4,10,9,172,10
199,1,11,9,123,10
144,1,10,9,72,10
26,4,5,11,226,9
144,4,10,9,54,10
186,4,11,14,168,8
257,4,11,4,104,8
200,1,11,11,289,9
200,1,11,11,303,9
200,1,11,10,289,8
218,4,10,9,95,10
223,1,11,9,128,10
134,4,11,21,113,7
200,1,11,3,206,10
144,4,10,3,54,10
102,1,10,3,181,9
15,4,11,3,48,8
83,4,10,3,170,8
224,1,11,10,178,8
101,4,10,10,56,8
132,4,11,13,83,9
63,4,10,9,89,10
91,4,11,3,103,8
63,4,10,9,27,10
110,2,10,13,147,11
277,4,11,9,104,9
277,4,11,9,104,9
241,2,11,10,47,5
192,4,11,9,104,9
219,4,11,4,81,7
239,1,7,3,223,11
295,1,11,14,121,8
297,1,11,5,104,8
119,4,10,14,194,9
0,4,11,9,116,7
277,4,11,19,104,7
277,4,11,3,104,7
200,4,11,11,303,9
200,1,11,3,182,9
200,2,11,11,268,7
157,3,11,3,63,6
29,4,11,9,113,9
29,1,11,5,121,8
221,4,10,9,105,6
241,4,11,9,61,7
87,4,11,3,31,6
7,1,10,9,111,9
200,4,11,26,289,9
228,4,11,5,103,8
144,4,10,18,145,11
201,1,11,9,92,9
165,1,11,3,184,9
289,4,11,3,38,7
289,4,11,3,38,7
277,4,11,9,136,8
62,4,11,9,42,8
130,4,11,10,185,7
130,1,11,9,68,6
128,4,5,11,322,11
296,1,11,18,304,10
26,4,5,11,232,9
29,1,11,18,176,9
122,4,5,11,247,9
149,4,5,11,300,9
197,4,5,11,241,8
131,4,11,25,113,6
144,4,10,14,13,10
144,1,10,9,93,10
63,4,10,9,86,9
144,4,10,9,13,9
63,1,10,9,81,9
29,4,11,3,176,10
132,4,11,14,129,10
149,4,5,11,299,9
132,4,11,26,158,10
29,4,11,3,104,8
241,4,11,3,47,6
54,1,10,9,124,7
219,4,11,4,183,8
62,4,11,14,42,8
61,4,10,3,24,7
101,4,10,9,56,8
279,4,11,18,237,7
269,1,7,9,193,7
269,1,7,9,193,6
269,1,7,9,193,5
269,1,7,9,193,5
200,4,11,11,303,9
5,4,11,3,113,8
74,4,10,9,107,8
135,1,10,9,177,8
28,4,11,3,151,9
63,4,10,9,162,10
200,4,11,9,150,10
29,4,11,3,151,9
296,4,11,18,148,9
75,4,10,9,192,8
111,4,11,18,18,8
181,2,10,9,146,8
266,4,11,3,185,8
144,4,10,14,62,9
110,4,10,9,164,10
110,4,10,14,183,9
219,4,11,9,91,9
134,4,11,9,45,6
27,4,11,14,129,10
27,4,11,9,151,9
157,4,11,3,151,9
157,4,11,3,149,5
132,4,11,3,163,9
168,1,10,15,126,8
200,1,11,17,303,9
213,4,10,9,144,10
213,1,10,9,113,9
284,4,11,5,113,9
193,1,11,2,132,8
163,1,7,21,154,8
292,2,11,2,105,7
144,4,10,9,44,11
144,4,10,22,275,10
144,1,10,9,62,10
132,4,11,9,92,10
186,4,11,3,168,9
27,4,11,3,151,8
155,4,10,3,216,8
155,1,10,9,242,8
238,4,5,11,291,10
201,1,11,7,237,9
201,4,11,3,176,8
132,4,11,14,116,10
132,4,11,7,121,10
132,4,11,13,90,9
87,1,11,26,250,9
110,1,10,4,201,9
239,1,7,1,286,9
87,4,11,26,250,8
87,4,11,26,250,8
110,4,10,1,40,9
144,1,10,9,93,10
144,1,10,9,110,10
63,4,10,9,187,9
79,4,3,18,340,9
153,1,10,9,144,9
92,1,10,9,124,8
153,4,10,3,144,8
92,4,10,26,200,9
63,4,10,14,134,8
126,4,10,9,77,9
277,4,11,9,123,7
45,4,11,6,35,5
200,1,11,23,334,10
13,4,11,18,271,7
219,4,11,17,91,7
275,1,10,9,285,9
88,4,11,9,129,8
101,4,10,9,58,9
174,4,10,9,31,6
132,4,11,3,237,10
18,1,11,9,256,12
132,4,11,3,104,9
132,4,11,13,108,8
132,1,11,9,92,9
277,4,11,10,132,8
277,4,11,9,116,8
132,4,11,10,116,8
132,4,11,14,129,8
188,4,11,10,104,8
216,4,10,10,190,7
207,4,6,3,271,9
123,1,6,18,323,8
123,4,6,0,273,6
88,4,11,14,144,9
200,1,11,17,182,9
200,4,11,11,289,9
29,4,11,14,144,10
219,4,11,8,91,8
134,4,11,9,68,8
107,4,11,5,67,7
277,4,11,15,141,8
132,1,11,10,83,7
132,4,11,15,68,7
174,4,10,14,46,8
174,4,10,14,46,8
166,2,11,3,33,6
166,4,11,3,33,5
155,4,10,22,277,5
243,4,5,9,52,8
200,1,11,18,289,10
200,4,11,9,150,9
200,4,11,11,289,9
132,1,11,4,198,10
132,4,11,14,121,10
228,4,11,9,112,9
64,4,11,14,42,7
228,4,11,9,112,8
138,1,11,9,156,10
289,4,11,1,30,7
274,4,10,9,15,8
138,4,11,14,144,7
47,4,11,18,296,10
277,4,11,14,141,9
209,4,11,26,325,11
87,4,11,26,271,8
215,4,3,26,281,8
101,4,10,26,287,7
91,4,11,3,103,9
219,4,11,12,81,8
274,4,10,9,15,8
74,4,10,9,107,8
150,4,5,11,210,7
150,2,5,11,210,5
144,4,10,9,36,9
144,4,10,10,93,9
144,4,10,10,175,9
144,1,10,9,62,8
223,4,11,14,132,11
223,4,11,9,108,9
247,2,10,14,231,9
27,4,11,3,232,9
174,4,10,9,24,6
87,4,11,18,132,9
63,1,10,9,105,9
132,4,11,9,113,8
87,4,11,18,185,9
63,4,10,9,233,8
180,4,11,9,43,7
132,4,11,9,104,10
29,4,11,8,121,10
219,1,11,9,103,9
219,4,11,3,213,9
200,4,11,11,329,8
240,1,10,9,143,9
119,4,10,14,216,10
144,4,10,10,16,9
144,4,10,9,38,9
128,4,5,11,305,11
112,1,11,9,295,10
128,4,5,11,305,10
138,1,11,3,136,8
91,4,11,3,112,9
186,4,11,9,129,10
222,2,11,9,68,9
190,1,11,9,129,9
144,1,10,10,215,11
199,1,11,3,304,10
59,4,11,23,336,10
97,4,11,3,317,9
195,1,10,10,254,9
62,1,11,9,98,5
128,4,5,11,324,10
128,4,5,11,290,10
45,4,11,9,68,8
277,4,11,14,141,8
277,4,11,9,113,7
45,4,11,12,35,6
201,4,11,3,168,8
275,1,10,9,258,11
128,4,5,11,290,11
200,4,11,18,344,12
112,1,11,9,343,11
299,1,11,18,310,9
26,4,5,11,263,9
144,1,10,9,93,9
200,4,11,20,229,8
138,4,11,9,151,7
128,4,5,11,305,9
175,4,11,9,83,7
62,4,11,9,42,6
191,4,11,9,113,7
179,1,2,9,293,5
94,4,4,10,35,5
159,4,10,14,145,8
94,4,4,10,12,7
94,1,4,10,35,2
94,1,4,10,74,2
94,2,4,10,4,3
94,1,4,10,74,5
94,4,4,10,74,7
94,1,4,10,35,3
94,2,4,10,4,4
79,4,3,18,337,11
66,4,11,9,105,8
263,4,11,9,92,8
263,4,11,14,92,9
263,4,11,9,92,8
291,1,10,9,160,9
247,2,10,9,231,11
200,4,11,11,291,9
132,4,11,14,129,8
192,4,11,9,104,7
200,4,11,11,304,9
192,4,11,9,116,8
192,4,11,9,113,7
200,1,11,18,329,10
200,4,11,9,151,10
132,4,11,26,185,8
138,1,11,10,214,9
227,4,11,4,156,8
219,4,11,14,81,9
67,4,11,3,176,7
67,4,11,9,144,8
110,1,10,9,211,8
299,1,11,18,219,10
68,4,11,9,104,9
299,4,11,9,219,9
68,4,11,9,104,7
106,4,11,4,151,7
110,4,10,9,183,8
150,2,5,11,158,6
45,4,11,3,249,9
45,4,11,3,218,7
132,4,11,10,104,9
144,4,10,9,222,11
134,4,11,25,92,8
132,4,11,9,113,10
144,4,10,9,13,10
132,4,11,9,104,8
134,4,11,11,221,7
274,1,10,9,238,10
200,4,11,13,151,9
126,4,10,4,105,9
126,4,10,9,77,8
46,1,10,9,144,9
88,4,11,3,136,8
20,1,11,4,113,6
132,4,11,14,129,9
150,4,5,11,205,7
189,4,11,10,104,8
138,1,11,9,151,7
132,4,11,9,104,9
244,4,10,18,134,9
291,4,10,9,125,8
291,4,10,9,125,8
244,4,10,13,90,8
291,1,10,9,50,6
128,4,5,11,290,10
159,4,10,3,66,8
132,4,11,26,219,9
286,1,11,8,129,9
286,4,11,9,88,8
286,4,11,10,129,8
29,1,11,3,326,11
200,1,11,3,317,12
171,4,5,11,318,9
200,4,11,11,317,9
200,4,11,11,291,10
200,4,11,12,214,8
171,4,5,11,320,7
171,4,5,11,224,6
200,2,11,11,271,7
12,4,10,9,7,7
200,1,11,3,244,11
144,4,10,9,79,10
251,4,11,9,113,9
138,1,11,9,156,9
162,4,11,9,104,9
251,4,11,9,113,9
144,4,10,14,85,9
167,1,10,12,167,8
293,4,10,14,213,10
200,4,11,11,304,10
110,2,10,18,302,10
128,2,5,11,309,10
247,3,10,7,341,10
200,3,11,13,185,9
236,2,5,11,207,9
53,3,11,13,51,8
119,3,10,14,142,8
204,3,11,14,38,7
262,0,11,13,35,5
144,4,10,22,222,9
165,4,11,9,92,9
138,1,11,9,156,10
132,4,11,9,104,9
138,1,11,3,156,9
186,2,11,15,92,7
219,4,11,4,112,8
219,4,11,10,81,7
229,4,8,14,141,9
132,4,11,2,129,7
200,4,11,7,342,11
132,4,11,13,144,9
110,2,10,14,183,10
132,4,11,5,104,8
87,4,11,14,113,8
220,4,11,9,108,10
200,4,11,11,304,9
200,1,11,3,244,9
70,4,10,9,77,9
70,4,10,9,77,8
70,4,10,4,105,9
70,4,10,9,77,9
70,4,10,10,77,8
298,4,11,10,92,8
64,4,11,4,136,9
64,4,11,14,74,8
64,4,11,12,98,8
64,4,11,21,136,7
291,4,10,9,107,9
201,4,11,1,168,8
260,4,10,1,72,8
46,4,10,4,159,9
200,4,11,3,185,9
200,4,11,3,220,9
299,4,11,3,113,8
1,4,10,9,124,7
1,4,10,9,124,5
127,4,11,3,108,7
127,4,11,3,92,5
201,4,11,17,92,8
201,4,11,3,113,8
217,4,10,9,276,9
7,4,10,14,131,9
144,4,10,14,107,11
132,4,11,14,136,10
132,4,11,9,104,9
144,4,10,9,62,10
144,4,10,9,62,10
235,4,11,9,88,8
170,4,11,9,92,8
299,4,11,9,219,8
200,4,11,3,185,9
199,4,11,3,151,9
110,4,10,3,254,9
18,4,11,9,97,10
103,4,10,9,85,10
128,4,5,11,305,10
299,4,11,3,163,10
199,4,11,18,307,10
200,4,11,11,304,10
165,4,11,9,104,9
165,4,11,4,104,8
228,4,11,4,136,9
228,4,11,9,108,7
173,4,11,3,252,10
42,4,10,14,78,9
173,4,11,20,251,8
42,4,10,4,220,8
42,4,10,9,78,7
134,4,11,15,45,6
138,4,11,14,136,8
281,1,11,9,129,8
100,4,11,9,67,8
39,4,11,3,112,8
199,4,11,18,237,10
110,1,10,18,21,10
79,4,3,18,340,9
110,4,10,4,201,9
110,4,10,4,201,8
224,4,11,2,121,9
138,4,11,3,156,8
138,4,11,2,113,7
217,4,10,9,243,9
43,4,10,4,208,7
144,4,10,22,251,9
288,2,11,19,91,7
288,4,11,1,91,5
132,4,11,9,104,9
200,1,11,3,220,9
1,1,10,9,124,8
1,4,10,9,124,8
219,4,11,21,87,8
172,4,11,8,99,10
29,4,11,9,129,9
261,1,10,9,164,8
132,4,11,13,121,9
62,1,11,13,69,9
62,4,11,3,42,7
132,4,11,9,104,10
87,4,11,18,329,10
87,4,11,18,329,9
78,1,10,9,173,7
217,4,10,18,8,10
49,4,10,19,144,7
132,4,11,10,83,8
128,4,5,11,290,11
219,4,11,17,87,8
223,4,11,9,129,10
138,4,11,9,129,8
228,4,11,3,171,10
42,4,10,13,106,8
42,1,10,9,117,8
206,1,11,9,144,10
72,4,11,9,25,8
102,4,10,9,11,8
297,4,11,15,104,8
294,4,11,15,75,6
45,4,11,3,225,9
186,1,11,3,317,10
152,2,5,11,209,8
29,1,11,3,191,10
177,1,10,9,55,8
298,4,11,9,113,9
49,4,10,14,173,10
83,1,10,14,212,9
58,1,10,7,125,8
58,1,10,14,145,7
26,1,5,11,301,9
26,4,5,11,266,9
144,4,10,14,102,11
276,1,11,9,153,10
144,1,10,9,175,10
144,1,10,9,204,10
144,4,10,10,22,9
144,4,10,10,79,9
276,4,11,10,129,8
258,4,11,15,129,8
211,4,11,19,156,9
211,4,11,3,104,8
274,1,10,9,150,8
110,1,10,9,183,10
110,4,10,9,183,9
228,4,11,14,127,9
74,4,10,14,107,9
128,4,5,11,282,11
173,4,11,14,137,9
39,1,11,9,140,9
173,4,11,14,137,9
144,1,10,9,62,10
113,1,10,9,147,7
113,1,10,9,164,7
113,1,10,9,147,8
192,4,11,3,151,7
4,4,10,14,150,8
19,1,11,9,152,8
33,4,11,14,93,8
129,4,11,14,141,8
225,1,9,4,197,8
271,4,11,9,92,8
245,2,11,9,113,7
109,1,10,9,130,10
70,4,10,14,144,10
162,4,11,9,129,10
17,1,10,9,36,7
234,1,10,3,230,7
56,4,10,4,201,5
56,4,10,4,254,8
133,4,10,3,169,10
16,4,10,4,188,7
86,1,10,3,204,8
144,4,10,22,3,10
94,4,4,10,74,7
94,2,4,10,4,6
94,4,4,10,4,6
101,1,10,9,185,10
101,4,10,10,56,8
291,1,10,3,245,9
242,4,11,11,239,10
90,4,11,4,103,9
5,4,11,19,185,8
59,4,11,8,191,7
110,4,10,8,183,7
252,1,10,18,118,7
285,4,11,4,113,6
29,1,11,3,166,9
240,4,10,9,143,7
94,4,4,10,68,7
94,4,4,10,12,8
94,4,4,10,12,8
94,4,4,10,68,8
94,4,4,10,113,9
